Pair,Group,ClutchesWEggs,EggsPerClutch,Fertility
0.3XHF3,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,263.5,0.634
0.6XHF7,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,204,0.673
118X128,Heterospecifics-graellsiiXelegans-CorrubedoXLouro,3,132.333,0.62
135XH5.6,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,205.667,0.605
136XH5.5,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,207.667,0.61
144.8XHB.8,Postzygotics-elegansXhybrid-SymEleX(H:LouroXCenteans),3,162.667,0.273
211XT9,Heterospecifics-graellsiiXelegans-CorrubedoXLouro,3,137,0.786
212XR.85,Heterospecifics-graellsiiXelegans-CorrubedoXLouro,3,132.667,0.834
22XA50,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,3,127.333,0.974
34XA49,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,1,9.667,0.897
35XA56,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,3,265.333,0.896
50X101,Heterospecifics-elegansXgraellsii-LouroXCachadas,0,NA,NA
50X90I,Heterospecifics-elegansXgraellsii-LouroXCorrubedo,2,1.333,0
51X96I,Heterospecifics-elegansXgraellsii-LouroXCorrubedo,3,167.333,0.807
61XA57,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,3,102.667,0.951
A.1X130,Heterospecifics-elegansXgraellsii-LouroXLanzada,2,95,0.214
A.A4XH6.13,Postzygotics-elegansXhybrid-SymEleX[H:E:AlloEleX(H:LouroXLanzada)],3,281.333,0.66
AA.5XH6.9,Postzygotics-elegansXhybrid-SymEleX[H:E:AlloEleX(H:LouroXLanzada)],3,106,0.686
B.10X43,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,246.333,0.869
D.17XE17,Conspecifics-elegansXelegans-LouroXLouro,1,100,0.613
D.2X238,Heterospecifics-elegansXgraellsii-LouroXLanzada,0,NA,NA
D5.3X234,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,78.333,0.885
E.17.5XHF10,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,12.5,0.48
F.8XD7.1,Conspecifics-elegansXelegans-LouroXLouro,3,170.667,0.783
F5.1X235,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,72.667,0.752
F8.1X233,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,211,0.91
F8.2X237,Heterospecifics-elegansXgraellsii-LouroXLanzada,0,NA,NA
F8.3XK9.1,Conspecifics-elegansXelegans-LouroXLouro,3,52.667,0.759
G.23X75,Heterospecifics-elegansXgraellsii-LouroXCuvi,0,NA,NA
H.11X41,Heterospecifics-elegansXgraellsii-LouroXLanzada,2,19,1
H.14X46,Heterospecifics-elegansXgraellsii-LouroXLanzada,2,100.667,0.934
H.A.4XA170,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,2,77,0.565
H.B.2XA163,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,3,304,0.749
H4.11XH4.14,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,244,0.764
H4.11XH4.7,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,133,0.654
H4.20XH4.15,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,170.333,0.618
H4.4XH4.3,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,206.667,0.639
H4.5XH4.9,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,247.333,0.756
H4.6XH4.2,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,139,0.432
H5.15XH4.24,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),2,104.333,0.534
H5.33X4.24,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,3,38.333,0
H5.33XU.24,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,4,33.5,0
H5.3X119,Postzygotics-hybridXgraellsii-(H:LouroXLanzada)XSymGra,3,23.667,0.268
H5.3XH5.9,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,150.333,0.865
H5.7XH4.16,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,77.333,0.759
H5.8XR.4,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,2,201,0.9
H6.1XU.27,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,177,0.32
H6.3XU.14,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,5,0
H6.3XX.9,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,2,2,0
H6.5XX.16,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,180.667,0.924
H6.5XX.7,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,328.667,0.839
J.?XJ47,Conspecifics-elegansXelegans-LouroXLouro,0,NA,NA
J.1X3,Heterospecifics-elegansXgraellsii-LouroXCenteans,2,213.667,0.66
J.1X5,Heterospecifics-elegansXgraellsii-LouroXCenteans,2,112.333,0.703
J.38XF42,Conspecifics-elegansXelegans-LouroXLouro,1,104.5,0.737
J.39XH13,Conspecifics-elegansXelegans-LouroXLouro,3,245.667,0.934
J.39XJ57,Conspecifics-elegansXelegans-LouroXLouro,1,226,0.925
J.3X90I,Heterospecifics-elegansXgraellsii-LouroXCenteans,0,NA,NA
J.43XL38,Conspecifics-elegansXelegans-LouroXLouro,2,290,0.921
J.49X47,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,29,0.575
J.49XM31,Conspecifics-elegansXelegans-LouroXLouro,3,415.333,0.954
J.5.1XJ27.1,Conspecifics-elegansXelegans-LouroXLouro,0,NA,NA
L.39X31,Heterospecifics-elegansXgraellsii-LouroXLanzada,0,NA,NA
R.12XH5.26,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),0,NA,NA
R.14XH4.26,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,211,0.853
R.14XH5.24,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,8.333,0.68
R.17XH4.27,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,38.667,0.879
T1XH4.29,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,178.333,0.725
T2XH4.28,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,250.667,0.801
X.8XH6.4,Postzygotics-elegansXhybrid-SymEleX[H:E:AlloEleX(H:LouroXLanzada)],2,107.333,0.904
X.8XH7.8,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,201,0.915
0,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
