Pair,Group,Mechanical-Sucess,Mechanical-Tactile-Success
18XJ48,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
33XJ48,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
25XH13,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
40XJ48,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
22XJ48,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
34XH13,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
33XJ51,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
21XJ44,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
42XJ30,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
18XJ44,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
33XH13,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
J49X47,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,1
H11X41,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,1
K33X46,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,0
H14X46,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,1
K13X26,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,0
L39X31,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,1
B10X43,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,1
HA3XHA2,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HB2XHA2,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA4XHA2,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA4X140,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,0
HA6XHA2,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HB2X141,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,0
HA1XHA2,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA4X142,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,1
HA1X136,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,0
HB2X163,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,1
HA4XF62,Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,0,NA
HA4X170,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,0
HA3X157,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,0
HA1XH33,Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,0,NA
HA1X170,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,1,1
HB4XH33,Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,0,NA
HA9XF62,Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,0,NA
HA3XH33,Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,0,NA
HA1XHA10,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA6XHB6,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA4XHA5,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
HA4XHB3,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXCenteans),0,NA
221X198,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,1,0
HC10XGC8,Postzygotics-hybridXgraellsii-(H:LouroXLanzada)XSymGra,0,NA
HC9XA17.1,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,0,NA
HD4XA17.1,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,0,NA
H1.4XHF1,Postzygotics-hybridXhybrid-(H:LouroXCenteans)X(H:LouroXLanzada),0,NA
HC1XGB5,Postzygotics-hybridXgraellsii-(H:LouroXLanzada)XSymGra,0,NA
HG3XHE3,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HC15XHE4,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HG3XHE4,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HG3XHF6,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
O7X119.1,Conspecifics-elegansXelegans-LouroXLouro,1,1
HC18XE17.6,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,0,NA
HC18XHF10,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,0
O6XE17.6,Conspecifics-elegansXelegans-LouroXLouro,0,NA
O6XHF7,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
E17.5XHF10,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,0
E17.7XHF10,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
HF8XHC19,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
E17.5XE17.6,Conspecifics-elegansXelegans-LouroXLouro,0,NA
O7X119.2,Conspecifics-elegansXelegans-LouroXLouro,1,1
O6XIN2,Conspecifics-elegansXelegans-LouroXBelgium,1,1
HF13XHC20,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF12XHC20,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF13XHF14,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF12XHC19,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF16XHC20,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
IN5XHC20,Postzygotics-elegansXhybrid-AlloEleX(H:LouroXLanzada),1,1
HC12XHC19,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF12XHF18,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),0,NA
HF17XH3.5,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXCenteans),1,0
IN5XHD15,Postzygotics-elegansXhybrid-AlloEleX(H:LouroXCenteans),1,1
HF17XHD15,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,1
IN5XH3.5,Postzygotics-elegansXhybrid-AlloEleX(H:LouroXCenteans),1,1
25XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),0,NA
6X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
7X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
2X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,1,0
8XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),0,NA
21X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
24XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),1,0
19X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
19XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),0,NA
27X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
24X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
19X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
32X14.4.1,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
32X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
27XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),0,NA
32XHF22,Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),0,NA
23X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
27X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
15X14.4.2,Heterospecifics-graellsiiXelegans-LanzadaXLouro,0,NA
IN13XHD16,Postzygotics-elegansXhybrid-AlloEleX(H:LouroXLanzada),1,1
50X68,Conspecifics-elegansXelegans-LouroXLouro,1,1
IN15X54,Conspecifics-elegansXelegans-BelgiumXLouro,1,1
51X96,Heterospecifics-elegansXgraellsii-LouroXCorrubedo,1,1
136X133,Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,1,0
R17XH4.27,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
T2XH4.28,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
R14XH4.26,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
H5.19XH4.25,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,1
H5.23XU4,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,1,0
H5.16XR12,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,1,1
H5.14XH4.24,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,1
T1XH4.29,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),1,1
