ID,Ecology,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility,Include
1,Allopatry,Conspecific crosses,E♂E♀,ArlesXArles,3,-0.047,0.247,0.312,-0.027,-0.030,Y
2,Allopatry,Conspecific crosses,E♂E♀,BelgiumXBelgium,8,-0.047,0.011,-0.073,0.214,0.357,Y
3,Allopatry,Conspecific crosses,E♂E♀,BelgiumXSweden,5,-0.047,-0.130,-0.226,-0.440,-0.474,Y
4,Allopatry,Conspecific crosses,E♂E♀,SwedenXSweden,4,0.215,0.152,0.387,0.262,0.067,Y
5,Allopatry,Conspecific crosses,G♂G♀,AlbaXAlba,0,NA,NA,NA,NA,NA,N
6,Allopatry,Conspecific crosses,G♂G♀,CachadasXCachadas,11,0.048,0.075,-0.003,0.496,0.695,Y
7,Allopatry,Conspecific crosses,G♂G♀,RiomaiorXRiomaior,14,-0.047,-0.130,NA,NA,NA,N
8,Allopatry,Heterospecific crosses,E♂G♀,ArlesXCachadas,7,-0.047,0.193,0.212,0.909,1.000,Y
9,Allopatry,Heterospecific crosses,E♂G♀,BelgiumXCachadas,42,0.152,0.327,0.469,0.957,1.000,Y
10,Allopatry,Heterospecific crosses,E♂G♀,LaigualXCachadas,6,0.302,0.247,0.728,0.998,1.000,Y
11,Allopatry,Heterospecific crosses,E♂G♀,SwedenXCachadas,15,0.092,0.096,0.837,0.989,1.000,Y
12,Allopatry,Heterospecific crosses,G♂E♀,CachadasXBelgium,11,0.143,0.178,0.109,0.024,-0.098,Y
13,Allopatry,Heterospecific crosses,G♂E♀,CachadasXMaraixDorx,1,-0.047,-0.130,-0.226,0.103,0.852,N
14,Allopatry,Postzygotics,E♂H♀,AlloEleX(H:BelgiumXCachadas),7,-0.047,0.031,0.045,0.707,0.983,Y
15,Allopatry,Postzygotics,G♂H♀,AlloGraX(H:BelgiumXCachadas),2,-0.047,-0.130,-0.226,0.058,-0.125,Y
16,Allopatry,Postzygotics,H♂E♀,(H:BelgiumXCachadas)XAlloEle,12,0.215,0.152,0.425,0.953,1.000,Y
17,Allopatry,Postzygotics,H♂G♀,(H:BelgiumXCachadas)XAlloGra,14,0.102,0.031,0.212,0.991,1.000,Y
18,Allopatry,Postzygotics,H♂H♀,(H:BelgiumXCachadas)X(H:BelgiumXCachadas),18,-0.047,-0.067,0.042,0.954,1.000,Y
19,Sympatry,Conspecific crosses,E♂E♀,LouroXLouro,5,0.335,0.163,0.284,-0.325,-0.489,Y
20,Sympatry,Conspecific crosses,E♂E♀,LaxeXLaxe,41,0.081,0.150,0.188,0.329,0.329,Y
21,Sympatry,Conspecific crosses,G♂G♀,LanzadaXLanzada,2,-0.108,1.000,NA,NA,NA,N
22,Sympatry,Conspecific crosses,G♂G♀,MontalvoXMontalvo,10,-0.108,-0.394,-0.492,-0.264,0.163,Y
23,Sympatry,Heterospecific crosses,E♂G♀,LouroXCenteans,0,NA,NA,NA,NA,NA,N
