Year,Generation,Cross,Type,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,,,,,,,,
2001,F0,EXE,F0-EXE,0.613,0.737,0.934,0.925,0.921,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,EXE,F1-EXE,0.783,0.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,EXE,F2-EXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,GXG,F0-GXG,0.897,0.974,0.896,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,GXG,F1-GXG,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,EXG,F0-EXG,0.214,0.91,0.885,0.752,0.66,1,0.869,0.934,0.575,0.703,0,0.807,,,,,,,,,,,,,,,,,,,,,
2001,F0,GXE,F0-GXE,0.62,0.834,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,HXH,F1-HXH,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,HXG,F1-HXG,0.749,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,GXH,F1-GXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,HXE,F1-HXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,EXH,F1-EXH,0.273,0.48,0.634,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,HXH,F2-HXH,0.764,0.618,0.759,0.534,0.432,0.639,0.654,0.756,0.865,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,HXG,F2-HXG,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,GXH,F2-GXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,HXE,F2-HXE,0,0.9,0.32,0,0.924,0.839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,EXH,F2-EXH,0.853,0.879,0.801,0.725,0.68,0.61,0.605,0.66,0.904,0.686,0.915,,,,,,,,,,,,,,,,,,,,,,
2019,F0,EXE,F0-EXE,0.98630137,0.357512953,0.965079365,0.970588235,0.968609865,0.984375,0.993406593,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,EXE,F1-EXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,EXE,F2-EXE,0.991176471,0.98630137,0.972627737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F0,GXG,F0-GXG,0,0.97,0,0.981818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,GXG,F1-GXG,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F0,EXG,F0-EXG,0.973684211,0.994423792,0,0.824773414,0.904320988,0,0.666666667,0.106382979,0.106382979,0.1,0.93125,0.985454545,0.829827916,0.975903614,0.127737226,0.958389262,0.834264432,0.880778589,1,0.844936709,0.855212355,0.957410562,0.1,,,,,,,,,,
2019,F0,GXE,F0-GXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,HXH,F1-HXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,HXG,F1-HXG,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,GXH,F1-GXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,HXE,F1-HXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,EXH,F1-EXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,HXH,F2-HXH,0.395061728,0.037735849,0.026041667,0.430232558,0.302197802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,HXG,F2-HXG,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,GXH,F2-GXH,0.137931034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,HXE,F2-HXE,0.983451537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F2,EXH,F2-EXH,1,0.26,0.68627451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F0,EXE,F0-EXE,0.90,0.95,0.84,0.95,0.94,0.88,0.93,0.96,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,EXE,F1-EXE,0.90,0.94,0.78,0.12,0.00,0.00,0.05,0.23,0.05,0.86,0.64,0.51,0.92,0.96,0.72,0.63,0.02,0.58,0.42,0.52,0.33,0.00,0.23,0.66,0.91,,,,,,,,
Allopatric,F2,EXE,F2-EXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F0,GXG,F0-GXG,0.99,0.99,0.96,0.99,0.98,0.98,0.98,0.98,0.97,1.00,0.99,0.98,0.96,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,GXG,F1-GXG,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F0,EXG,F0-EXG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F0,GXE,F0-GXE,0.97,0.86,0.81,0.48,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,HXH,F1-HXH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Allopatric,F1,HXG,F1-HXG,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,GXH,F1-GXH,0.868821293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,HXE,F1-HXE,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F1,EXH,F1-EXH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F2,HXH,F2-HXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F2,HXG,F2-HXG,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F2,GXH,F2-GXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F2,HXE,F2-HXE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allopatric,F2,EXH,F2-EXH,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
