ID,Ecology,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility,,
1,Allopatry,Conspecific crosses,E♂E♀,ArlesXArles,3,0.000,0.333,0.439,0.439,0.591,,
2,Allopatry,Conspecific crosses,E♂E♀,BelgiumXBelgium,8,0.000,0.125,0.125,0.482,0.692,,
3,Allopatry,Conspecific crosses,E♂E♀,BelgiumXSweden,5,0.000,0.000,0.000,0.051,0.293,,
4,Allopatry,Conspecific crosses,E♂E♀,SwedenXSweden,4,0.250,0.250,0.500,0.514,0.553,,
5,Allopatry,Conspecific crosses,G♂G♀,AlbaXAlba,0,NA,NA,NA,NA,NA,,
6,Allopatry,Conspecific crosses,G♂G♀,CachadasXCachadas,11,0.091,0.182,0.182,0.668,0.854,,
7,Allopatry,Heterospecific crosses,E♂G♀,ArlesXCachadas,7,0.000,0.286,0.357,0.940,1.000,,
8,Allopatry,Heterospecific crosses,E♂G♀,BelgiumXCachadas,42,0.190,0.405,0.567,0.971,1.000,,
9,Allopatry,Heterospecific crosses,E♂G♀,LaigualXCachadas,6,0.333,0.333,0.778,0.998,1.000,,
10,Allopatry,Heterospecific crosses,E♂G♀,SwedenXCachadas,15,0.133,0.200,0.867,0.993,1.000,,
11,Allopatry,Heterospecific crosses,G♂E♀,CachadasXBelgium,11,0.182,0.273,0.273,0.357,0.474,,
12,Allopatry,Heterospecific crosses,G♂E♀,CachadasXMaraixDorx,1,0.000,0.000,0.000,0.409,0.929,,
13,Allopatry,Postzygotics,E♂H♀,AlloEleX(H:BelgiumXCachadas),7,0.000,0.143,0.221,0.807,0.992,,
14,Allopatry,Postzygotics,G♂H♀,AlloGraX(H:BelgiumXCachadas),2,0.000,0.000,0.000,0.379,0.461,,
15,Allopatry,Postzygotics,H♂E♀,(H:BelgiumXCachadas)XAlloEle,12,0.250,0.250,0.531,0.969,1.000,,
16,Allopatry,Postzygotics,H♂G♀,(H:BelgiumXCachadas)XAlloGra,14,0.143,0.143,0.357,0.994,1.000,,
17,Allopatry,Postzygotics,H♂H♀,(H:BelgiumXCachadas)X(H:BelgiumXCachadas),18,0.000,0.056,0.218,0.970,1.000,,
18,Sympatry,Conspecific crosses,E♂E♀,LouroXLouro,5,0.400,0.400,0.520,0.659,0.718,,
19,Sympatry,Conspecific crosses,E♂E♀,LaxeXLaxe,41,0.171,0.390,0.456,0.827,0.873,,
20,Sympatry,Conspecific crosses,G♂G♀,LanzadaXLanzada,2,0.000,1.000,NA,NA,NA,,
21,Sympatry,Conspecific crosses,G♂G♀,LaxeXCachadas,3,0.333,0.667,NA,NA,NA,,
22,Sympatry,Conspecific crosses,G♂G♀,MontalvoXMontalvo,10,0.000,0.000,0.000,0.675,0.841,,
23,Sympatry,Heterospecific crosses,E♂G♀,LouroXCenteans,0,NA,NA,NA,NA,NA,,
24,Sympatry,Heterospecific crosses,E♂G♀,LouroXCorrubedo,1,0.000,0.000,0.000,0.701,0.880,,
