Ecology,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility,,
Allopatry,Conspecific crosses,E♂E♀,BelgiumXBelgium,8,0.000,0.125,0.125,0.413,0.651,,
Allopatry,Conspecific crosses,E♂E♀,BelgiumXSweden,5,0.000,0.000,0.000,0.000,0.256,,
Allopatry,Conspecific crosses,E♂E♀,SwedenXSweden,4,0.250,0.250,0.500,0.500,0.541,,
Allopatry,Conspecific crosses,G♂G♀,AlbaXAlba,0,NA,NA,NA,NA,NA,,
Allopatry,Conspecific crosses,G♂G♀,CachadasXCachadas,3,0.333,0.667,0.667,0.898,0.914,,
Allopatry,Heterospecific crosses,E♂G♀,BelgiumXCachadas,42,0.190,0.405,0.567,0.968,1.000,,
Allopatry,Heterospecific crosses,E♂G♀,LaigualXCachadas,6,0.333,0.333,0.778,0.998,1.000,,
Allopatry,Heterospecific crosses,E♂G♀,SwedenXCachadas,15,0.133,0.200,0.867,0.992,1.000,,
Allopatry,Heterospecific crosses,G♂E♀,CachadasXBelgium,11,0.182,0.273,0.273,0.273,0.405,,
Allopatry,Heterospecific crosses,G♂E♀,CachadasXMaraixDorx,1,0.000,0.000,0.000,0.331,0.920,,
Allopatry,Postzygotics,E♂H♀,AlloEleX(H:BelgiumXCachadas),7,0.000,0.143,0.221,0.782,0.991,,
Allopatry,Postzygotics,G♂H♀,AlloGraX(H:BelgiumXCachadas),2,0.000,0.000,0.000,0.297,0.389,,
Allopatry,Postzygotics,H♂E♀,(H:BelgiumXCachadas)XAlloEle,12,0.250,0.250,0.531,0.965,1.000,,
Allopatry,Postzygotics,H♂G♀,(H:BelgiumXCachadas)XAlloGra,14,0.143,0.143,0.357,0.993,1.000,,
Allopatry,Postzygotics,H♂H♀,(H:BelgiumXCachadas)X(H:BelgiumXCachadas),18,0.000,0.056,0.218,0.966,1.000,,
Sympatry,Conspecific crosses,E♂E♀,LouroXLouro,5,0.400,0.400,0.520,0.614,0.680,,
Sympatry,Conspecific crosses,E♂E♀,LaxeXLaxe,31,0.226,0.419,0.516,0.800,0.820,,
Sympatry,Conspecific crosses,G♂G♀,LanzadaXLanzada,2,0.000,1.000,1.000,1.000,1.000,,
Sympatry,Conspecific crosses,G♂G♀,MontalvoXMontalvo,10,0.000,0.000,0.000,0.632,0.820,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXCenteans,0,NA,NA,NA,NA,NA,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXCorrubedo,1,0.000,0.000,0.000,0.662,0.864,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXLanzada,7,0.000,0.286,0.481,0.778,0.830,,
Sympatry,Heterospecific crosses,E♂G♀,LaxeXCachadas,25,0.160,0.360,0.413,0.661,0.742,,
Sympatry,Heterospecific crosses,E♂G♀,LaxeXMontalvo,34,0.265,0.471,0.471,0.780,0.879,,
Sympatry,Heterospecific crosses,G♂E♀,CorrubedoXLouro,4,0.250,0.250,0.250,0.597,0.699,,
Sympatry,Heterospecific crosses,G♂E♀,LanzadaXLouro,24,0.958,1.000,NA,NA,NA,,
Sympatry,Heterospecific crosses,G♂E♀,CachadasXLaxe,18,0.944,1.000,NA,NA,NA,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LouroXCenteans),0,NA,NA,NA,NA,NA,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LouroXLanzada),8,0.000,0.125,0.198,0.479,0.628,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LaxeXMontalvo),15,0.267,0.333,0.455,0.728,0.824,,
Sympatry,Postzygotics,G♂H♀,SymGraX(H:LouroXLanzada),6,0.833,1.000,NA,NA,NA,,
Sympatry,Postzygotics,G♂H♀,SymGraX(H:LaxeXMontalvo),1,0.000,0.000,0.000,0.845,0.979,,
Sympatry,Postzygotics,H♂E♀,(H:LouroxCenteans)XSymEle,5,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂E♀,(H:LouroxLanzada)XSymEle,10,0.500,0.800,0.800,0.927,0.978,,
Sympatry,Postzygotics,H♂E♀,(H:LaxeXMontalvo)XSymEle,8,0.625,0.750,0.750,0.929,0.965,,
Sympatry,Postzygotics,H♂G♀,(H:LouroXCenteans)XSymGra,8,0.000,0.625,0.625,0.714,0.812,,
Sympatry,Postzygotics,H♂G♀,(H:LouroxLanzada)XSymGra,2,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂G♀,(H:LaxeXMontalvo)XSymGra,5,0.000,0.200,0.200,0.646,0.975,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXCenteans)X(H:LouroXCenteans),9,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXCenteans)X(H:LouroXLanzada),1,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXLanzada)X(H:LouroXCenteans),1,0.000,1.000,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXLanzada)X(H:LouroXLanzada),16,0.750,0.813,0.813,0.877,0.918,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXMontalvo)X(H:LouroXMontalvo),18,0.111,0.111,0.244,0.790,0.958,,
