Ecology,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility,,
Allopatry,Conspecific crosses,E♂E♀,BelgiumXBelgium,8,0.000,0.167,0.167,0.441,0.668,,
Allopatry,Conspecific crosses,E♂E♀,BelgiumXSweden,5,0.000,0.000,0.000,0.000,0.256,,
Allopatry,Conspecific crosses,E♂E♀,SwedenXSweden,4,0.250,0.250,0.500,0.500,0.541,,
Allopatry,Conspecific crosses,G♂G♀,AlbaXAlba,0,NA,NA,NA,NA,NA,,
Allopatry,Conspecific crosses,G♂G♀,CachadasXCachadas,3,0.333,0.667,0.667,0.898,0.914,,
Allopatry,Heterospecific crosses,E♂G♀,BelgiumXCachadas,42,0.221,0.439,0.592,0.969,1.000,,
Allopatry,Heterospecific crosses,E♂G♀,LaigualXCachadas,6,0.333,0.333,0.778,0.998,1.000,,
Allopatry,Heterospecific crosses,E♂G♀,SwedenXCachadas,15,0.133,0.200,0.867,0.992,1.000,,
Allopatry,Heterospecific crosses,G♂E♀,CachadasXBelgium,11,0.182,0.273,0.273,0.273,0.405,,
Allopatry,Heterospecific crosses,G♂E♀,CachadasXMaraixDorx,1,0.000,0.000,0.000,0.331,0.920,,
Allopatry,Postzygotics,E♂H♀,AlloEleX(H:BelgiumXCachadas),7,0.000,0.143,0.221,0.782,0.991,,
Allopatry,Postzygotics,G♂H♀,AlloGraX(H:BelgiumXCachadas),2,0.250,0.250,0.250,0.473,0.542,,
Allopatry,Postzygotics,H♂E♀,(H:BelgiumXCachadas)XAlloEle,12,0.292,0.292,0.557,0.967,1.000,,
Allopatry,Postzygotics,H♂G♀,(H:BelgiumXCachadas)XAlloGra,14,0.226,0.226,0.420,0.994,1.000,,
Allopatry,Postzygotics,H♂H♀,(H:BelgiumXCachadas)X(H:BelgiumXCachadas),18,0.028,0.082,0.240,0.967,1.000,,
Sympatry,Conspecific crosses,E♂E♀,LouroXLouro,5,0.400,0.400,0.520,0.614,0.680,,
Sympatry,Conspecific crosses,E♂E♀,LaxeXLaxe,31,0.292,0.484,0.570,0.822,0.840,,
Sympatry,Conspecific crosses,G♂G♀,LanzadaXLanzada,2,0.000,1.000,1.000,1.000,1.000,,
Sympatry,Conspecific crosses,G♂G♀,MontalvoXMontalvo,10,0.000,0.000,0.000,0.632,0.820,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXCenteans,0,NA,NA,NA,NA,NA,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXCorrubedo,1,0.000,0.000,0.000,0.662,0.864,,
Sympatry,Heterospecific crosses,E♂G♀,LouroXLanzada,7,0.000,0.286,0.481,0.778,0.830,,
Sympatry,Heterospecific crosses,E♂G♀,LaxeXCachadas,25,0.245,0.425,0.473,0.695,0.768,,
Sympatry,Heterospecific crosses,E♂G♀,LaxeXMontalvo,34,0.358,0.550,0.550,0.813,0.897,,
Sympatry,Heterospecific crosses,G♂E♀,CorrubedoXLouro,4,0.250,0.250,0.250,0.597,0.699,,
Sympatry,Heterospecific crosses,G♂E♀,LanzadaXLouro,24,0.958,1.000,NA,NA,NA,,
Sympatry,Heterospecific crosses,G♂E♀,CachadasXLaxe,18,0.972,1.000,NA,NA,NA,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LouroXCenteans),0,NA,NA,NA,NA,NA,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LouroXLanzada),8,0.000,0.250,0.313,0.554,0.681,,
Sympatry,Postzygotics,E♂H♀,SymEleX(H:LaxeXMontalvo),15,0.300,0.364,0.479,0.741,0.832,,
Sympatry,Postzygotics,G♂H♀,SymGraX(H:LouroXLanzada),6,0.917,1.000,NA,NA,NA,,
Sympatry,Postzygotics,G♂H♀,SymGraX(H:LaxeXMontalvo),1,0.667,0.667,0.667,0.948,0.993,,
Sympatry,Postzygotics,H♂E♀,(H:LouroxCenteans)XSymEle,5,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂E♀,(H:LouroxLanzada)XSymEle,10,0.500,0.800,0.800,0.927,0.978,,
Sympatry,Postzygotics,H♂E♀,(H:LaxeXMontalvo)XSymEle,8,0.625,0.750,0.750,0.929,0.965,,
Sympatry,Postzygotics,H♂G♀,(H:LouroXCenteans)XSymGra,8,0.063,0.648,0.648,0.732,0.824,,
Sympatry,Postzygotics,H♂G♀,(H:LouroxLanzada)XSymGra,2,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂G♀,(H:LaxeXMontalvo)XSymGra,5,0.100,0.280,0.280,0.681,0.977,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXCenteans)X(H:LouroXCenteans),9,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXCenteans)X(H:LouroXLanzada),1,1.000,NA,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXLanzada)X(H:LouroXCenteans),1,0.667,1.000,NA,NA,NA,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXLanzada)X(H:LouroXLanzada),16,0.750,0.844,0.844,0.898,0.931,,
Sympatry,Postzygotics,H♂H♀,(H:LouroXMontalvo)X(H:LouroXMontalvo),18,0.139,0.139,0.268,0.797,0.960,,
