Ecology,Database,Generation,Type,Cross,Population,N,Mechanical,Mechanical-Tactile,Oviposition,Fecundity,Fertility
Allopatry,Allopatric,F0,Conspecific,E♂E♀,AlloEleXAlloEle,24,0.069,0.164,0.188,0.298,0.589
Allopatry,Allopatric,F0,Conspecific,G♂G♀,AlloGraXAlloGra,3,0.333,0.667,0.689,0.689,0.698
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,BelgiumXCachadas,42,0.221,0.439,0.592,0.959,1.000
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,LaigualXCachadas,6,0.333,0.333,0.778,0.998,1.000
Allopatry,Allopatric,F0,Heterospecific,E♂G♀,SwedenXCachadas,15,0.133,0.200,0.867,0.989,1.000
Allopatry,Allopatric,F0,Heterospecific,G♂E♀,CachadasXBelgium,11,0.182,0.273,0.273,0.273,0.405
Allopatry,Allopatric,F0,Heterospecific,G♂E♀,CachadasXMaraixDorx,1,0.000,0.000,0.000,0.113,0.894
Allopatry,Allopatric,F1,Backcross,E♂H♀,AlloEleXBelgium,7,0.000,0.143,0.221,0.711,0.988
Allopatry,Allopatric,F1,Backcross,G♂H♀,CachadasXBelgium,2,0.250,0.250,0.250,0.302,0.393
Allopatry,Allopatric,F1,Backcross,H♂E♀,BelgiumXAlloEle,12,0.292,0.292,0.557,0.956,1.000
Allopatry,Allopatric,F1,Backcross,H♂G♀,BelgiumXCachadas,14,0.226,0.226,0.420,0.992,1.000
Allopatry,Allopatric,F1,Hybrid,H♂H♀,BelgiumXBelgium,18,0.028,0.082,0.240,0.956,1.000
Sympatry,2019,F0,Conspecific,E♂E♀,LaxeXLaxe,31,0.292,0.484,0.570,0.764,0.788
Sympatry,2019,F0,Conspecific,G♂G♀,MontalvoXMontalvo,10,0.000,0.000,0.000,0.512,0.762
Sympatry,2019,F0,Heterospecific,E♂G♀,LaxeXCachadas,25,0.245,0.425,0.473,0.596,0.693
Sympatry,2019,F0,Heterospecific,E♂G♀,LaxeXMontalvo,34,0.358,0.550,0.550,0.753,0.864
Sympatry,2019,F0,Heterospecific,G♂E♀,CachadasXLaxe,18,0.972,1.000,NA,NA,NA
Sympatry,2019,F1,Backcross,E♂H♀,LaxeXMontalvo,8,0.375,0.375,0.375,0.419,NA
Sympatry,2019,F1,Backcross,H♂E♀,MontalvoXLaxe,1,0.000,1.000,NA,NA,NA
Sympatry,2019,F1,Backcross,H♂G♀,MontalvoXMontalvo,4,0.000,0.250,0.250,0.524,NA
Sympatry,2019,F1,Hybrid,H♂H♀,MontalvoXMontalvo,8,0.125,0.125,0.198,0.664,NA
Sympatry,2019,F2,Backcross,E♂H♀,LaxeXMontalvo,7,0.214,0.345,0.607,0.952,0.969
Sympatry,2019,F2,Backcross,G♂H♀,MontalvoXMontalvo,1,0.667,0.667,0.667,0.932,0.991
Sympatry,2019,F2,Backcross,H♂E♀,MontalvoXLaxe,7,0.714,0.714,0.714,0.892,0.947
Sympatry,2019,F2,Backcross,H♂G♀,MontalvoXMontalvo,1,0.500,0.500,0.500,0.779,0.984
Sympatry,2019,F2,Hybrid,H♂H♀,MontalvoXMontalvo,10,0.150,0.150,0.363,0.825,0.965
