Year,Generation,Cross,Type,Ecology,Eco,Mechanical,Tactile,Oviposition,Fecundity,Fertility
2000-2001,F0,E♂E♀,Conspecific,Sympatry,Sympatry: 2000-2001,NA,NA,0.20,0.00,0.15
2000-2001,F0,G♂G♀,Conspecific,Sympatry,Sympatry: 2000-2001,NA,NA,0.00,0.00,0.07
2000-2001,F0,E♂G♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.00,0.13,0.33,0.71,0.31
2000-2001,F0,G♂E♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.89,0.40,0.00,0.65,0.25
2000-2001,F1,H♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.85,0.57,0.67,0.67,0.15
2000-2001,F1,H♂G♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.38,0.40,0.00,0.50,0.34
2000-2001,F1,G♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.90,1.00,NA,NA,NA
2000-2001,F1,H♂E♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.86,0.00,1.00,NA,NA
2000-2001,F1,E♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.00,0.00,0.00,0.58,0.49
2000-2001,F2,H♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.10,0.11,0.00,0.57,0.33
2000-2001,F2,H♂G♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.10,0.32,0.00,0.94,0.73
2000-2001,F2,G♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,NA,NA,NA,NA,NA
2000-2001,F2,H♂E♀,Heterospecific,Sympatry,Sympatry: 2000-2001,NA,NA,0.00,0.69,0.63
2000-2001,F2,E♂H♀,Heterospecific,Sympatry,Sympatry: 2000-2001,0.00,0.14,0.08,0.58,0.24
2019-2020,F0,E♂E♀,Conspecific,Sympatry,Sympatry: 2019-2020,0.36,0.44,0.14,0.00,0.11
2019-2020,F0,G♂G♀,Conspecific,Sympatry,Sympatry: 2019-2020,0.00,0.00,0.00,0.00,0.51
2019-2020,F0,E♂G♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.41,0.33,0.04,0.68,0.35
2019-2020,F0,G♂E♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.95,1.00,NA,NA,NA
2019-2020,F1,H♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.13,0.00,0.08,0.79,NA
2019-2020,F1,H♂G♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.00,0.25,0.00,0.69,NA
2019-2020,F1,G♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,NA,NA,NA,NA,NA
2019-2020,F1,H♂E♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.00,1.00,NA,NA,NA
2019-2020,F1,E♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.55,0.00,0.00,0.54,NA
2019-2020,F2,H♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.18,0.00,0.25,0.87,0.80
2019-2020,F2,H♂G♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.50,0.00,0.00,0.78,0.93
2019-2020,F2,G♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.67,0.00,0.00,0.90,0.86
2019-2020,F2,H♂E♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.91,0.00,0.00,0.81,0.51
2019-2020,F2,E♂H♀,Heterospecific,Sympatry,Sympatry: 2019-2020,0.25,0.17,0.40,0.94,0.35
Allopatric,F0,E♂E♀,Conspecific,Allopatry,Allopatry,0.103448276,0.115384615,0.029411765,0,0.08173654
Allopatric,F0,G♂G♀,Conspecific,Allopatry,Allopatry,0.2,0.75,0.066666667,0,0.020490645
Allopatric,F0,E♂G♀,Heterospecific,Allopatry,Allopatry,0.309859155,0.204081633,0.5,0.946413067,1
Allopatric,F0,G♂E♀,Heterospecific,Allopatry,Allopatry,0.181818182,0.111111111,0,0.350238123,0.18179825
Allopatric,F1,H♂H♀,Heterospecific,Allopatry,Allopatry,0.05,0.052631579,0.166666667,0.972709134,1
Allopatric,F1,H♂G♀,Heterospecific,Allopatry,Allopatry,0.294117647,0,0.25,0.992920095,1
Allopatric,F1,G♂H♀,Heterospecific,Allopatry,Allopatry,0.333333333,0,0,0.543996335,0.131178707
Allopatric,F1,H♂E♀,Heterospecific,Allopatry,Allopatry,0.266666667,0,0.375,0.951192003,1
Allopatric,F1,E♂H♀,Heterospecific,Allopatry,Allopatry,0,0.142857143,0.090909091,0.81811869,0.95804878
