Year,Generation,Cross,Type,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,Fecund,,,,,,,,
2001,F0,E♂E♀,F0-E♂E♀,100,104.5,245.667,226,290,415.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,E♂E♀,F1-E♂E♀,170.667,52.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,G♂G♀,F0-G♂G♀,9.667,127.333,265.333,102.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,E♂G♀,F0-E♂G♀,95,211,78.333,72.667,213.667,19,246.333,100.667,29,112.333,1.333,167.333,,,,,,,,,,,,,,,,,,,,,
2001,F0,G♂E♀,F0-G♂E♀,132.333,132.667,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂H♀,F1-H♂H♀,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂G♀,F1-H♂G♀,304,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,G♂H♀,F1-G♂H♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂E♀,F1-H♂E♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,E♂H♀,F1-E♂H♀,162.667,12.5,263.5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂H♀,F2-H♂H♀,244,170.333,77.333,104.333,139,206.667,133,247.333,150.333,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂G♀,F2-H♂G♀,23.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,G♂H♀,F2-G♂H♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂E♀,F2-H♂E♀,38.333,201,177,5,180.667,328.667,2,33.5,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,E♂H♀,F2-E♂H♀,211,38.667,250.667,178.333,8.333,207.667,205.667,281.333,107.333,106,201,,,,,,,,,,,,,,,,,,,,,,
2019,F0,E♂E♀,F0-E♂E♀,121.6666667,193,105,90.66666667,111.5,42.66666667,151.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,F1,E♂E♀,F1-E♂E♀,44.33333333,147,61.66666667,82.33333333,125.6666667,110.6666667,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
