Year,Generation,Cross,Type,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,Fert,,,,,,,,
2001,F0,E♂E♀,F0-E♂E♀,0.613,0.737,0.934,0.925,0.921,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,E♂E♀,F1-E♂E♀,0.783,0.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,G♂G♀,F0-G♂G♀,0.897,0.974,0.896,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F0,E♂G♀,F0-E♂G♀,0.214,0.91,0.885,0.752,0.66,1,0.869,0.934,0.575,0.703,0,0.807,,,,,,,,,,,,,,,,,,,,,
2001,F0,G♂E♀,F0-G♂E♀,0.62,0.834,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂H♀,F1-H♂H♀,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂G♀,F1-H♂G♀,0.749,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,G♂H♀,F1-G♂H♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,H♂E♀,F1-H♂E♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F1,E♂H♀,F1-E♂H♀,0.273,0.48,0.634,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂H♀,F2-H♂H♀,0.764,0.618,0.759,0.534,0.432,0.639,0.654,0.756,0.865,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂G♀,F2-H♂G♀,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,G♂H♀,F2-G♂H♀,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,F2,H♂E♀,F2-H♂E♀,0,0.9,0.32,0,0.924,0.839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
