Pair,Group,ClutchesWEggs,EggsPerClutch,Fertility,Fertility_N
1.14X1.2,Postzygotics-hybridXhybrid,2,7.666666667,0,23
1.14X1.3,Postzygotics-hybridXhybrid,1,1.333333333,0,4
1.18X3.2,Postzygotics-hybridXhybrid,3,10.66666667,0,32
1.2XA.20,Postzygotics-hybridXgraellsii,0,NA,NA,NA
1.34X1.19,Postzygotics-hybridXhybrid,1,1.666666667,0,5
1.34X3.19,Postzygotics-hybridXhybrid,3,33,0,99
1.35X1.51,Postzygotics-hybridXhybrid,3,4,0,12
1.43X3.22,Postzygotics-hybridXhybrid,1,1,0,3
1.4X1.6,Postzygotics-hybridXhybrid,3,4.666666667,0,14
1.4X3.2,Postzygotics-hybridXhybrid,2,14,0,28
166XA.235,Conspecifics-graellsiiXgraellsii,3,305.6666667,0.985823337,917
166XA.259,Conspecifics-graellsiiXgraellsii,3,225.6666667,0.976366322,677
171XA.224,Conspecifics-graellsiiXgraellsii,0,NA,NA,NA
192XA.253,Conspecifics-graellsiiXgraellsii,3,157,0.98089172,471
196XA.226,Conspecifics-graellsiiXgraellsii,3,191.6666667,0.991304348,575
196XA.231,Conspecifics-graellsiiXgraellsii,3,167,0.992015968,501
2.11X1.14,Postzygotics-hybridXhybrid,0,NA,NA,NA
2.11XP.20,Postzygotics-hybridXelegans,2,28,0,84
2.14X5.13,Postzygotics-hybridXhybrid,1,1.333333333,0,4
2.14XA.18,Postzygotics-hybridXgraellsii,0,NA,NA,NA
2.15X1.46,Postzygotics-hybridXhybrid,3,4.333333333,0,13
2.16X2.14,Postzygotics-hybridXhybrid,1,4.666666667,0,14
2.16X2.2,Postzygotics-hybridXhybrid,0,NA,NA,NA
2.23X2.15,Postzygotics-hybridXhybrid,3,7,0,21
2.23X2.19,Postzygotics-hybridXhybrid,1,2,0,6
2.7X2.8,Postzygotics-hybridXhybrid,1,1.333333333,0,4
209XA.234,Conspecifics-graellsiiXgraellsii,3,219,0.95738204,657
214XA.300,Conspecifics-graellsiiXgraellsii,3,317.6666667,0.997901364,953
265XA.301,Conspecifics-graellsiiXgraellsii,2,165.6666667,0.985915493,497
271XA.255,Conspecifics-graellsiiXgraellsii,3,249.6666667,0.975967957,749
272XA.257,Conspecifics-graellsiiXgraellsii,3,353.6666667,0.980207352,1061
3.16X4.15,Postzygotics-hybridXhybrid,2,5.333333333,0,16
3.16X5.24,Postzygotics-hybridXhybrid,1,1,0,3
3.2X5.2,Postzygotics-hybridXhybrid,1,96,0,96
3.2XA.3,Postzygotics-hybridXgraellsii,1,2.666666667,0,8
3.3X5.11,Postzygotics-hybridXhybrid,0,NA,NA,NA
3.3XA.6,Postzygotics-hybridXgraellsii,3,7.666666667,0,23
4.14X1.47,Postzygotics-hybridXhybrid,3,4.333333333,0,13
4.1X5.3,Postzygotics-hybridXhybrid,3,14.66666667,0,44
4.1XA.5,Postzygotics-hybridXgraellsii,1,0.666666667,0,2
4.2XP.1,Postzygotics-hybridXelegans,1,4.5,0,9
4.4X4.8,Postzygotics-hybridXhybrid,2,29,0,87
414XA.285,Conspecifics-graellsiiXgraellsii,3,217,0.973886329,651
5.11X1.1,Postzygotics-hybridXhybrid,2,4.333333333,0,13
5.11X3.41,Postzygotics-hybridXhybrid,0,NA,NA,NA
5.11X3.5,Postzygotics-hybridXhybrid,0,NA,NA,NA
5.11XA.15,Postzygotics-hybridXgraellsii,2,3.333333333,0,10
5.11XA.17,Postzygotics-hybridXgraellsii,2,0.666666667,0,2
5.14XL.9,Postzygotics-hybridXelegans,3,34.33333333,0,103
5.14XP.14,Postzygotics-hybridXelegans,0,NA,NA,NA
5.16X5.18,Postzygotics-hybridXhybrid,3,7,0,21
5.4XP.3,Postzygotics-hybridXelegans,2,2.333333333,0,7
5.6XA.26,Postzygotics-hybridXgraellsii,2,1.333333333,0,4
5.6XB.5,Postzygotics-hybridXelegans,0,NA,NA,NA
5.6XL.3,Postzygotics-hybridXelegans,0,NA,NA,NA
5.8X5.9,Postzygotics-hybridXhybrid,1,0.666666667,0,2
5.8XE.2,Postzygotics-hybridXelegans,2,24.66666667,0,74
54XA.68,Conspecifics-graellsiiXgraellsii,3,131,0.959287532,393
63XA.66,Conspecifics-graellsiiXgraellsii,2,214.3333333,0.976671851,643
A.10XB.7,Heterospecifics-elegansXgraellsii,1,8,0,24
A.10XC.1,Conspecifics-elegansXelegans,3,272.6666667,0.951100244,818
A.13XL.18,Heterospecifics-graellsiiXelegans,2,167,0.119760479,501
A.19XC.10,Conspecifics-elegansXelegans,3,406.6666667,0.936065574,1220
A.23XA.22,Conspecifics-elegansXelegans,3,319,0.952978056,957
A.25XB.54,Heterospecifics-elegansXgraellsii,2,21,0,42
A.26XB.50,Heterospecifics-elegansXgraellsii,2,13.33333333,0,40
A.26XB.55,Heterospecifics-elegansXgraellsii,1,40,0,40
A.27XA.29,Conspecifics-elegansXelegans,3,214,0.836448598,642
A.27XB.29,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
A.2XA.12,Conspecifics-elegansXelegans,3,181.6666667,0.902752294,545
A.2XB.2,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
A.30XB.48,Heterospecifics-elegansXgraellsii,3,27.66666667,0,83
A.32XB.74,Heterospecifics-elegansXgraellsii,1,16,0,16
A.36XB.72,Heterospecifics-elegansXgraellsii,3,23.33333333,0,70
A.46XC.25,Conspecifics-elegansXelegans,3,370,0.928828829,1110
A.4X2.3,Postzygotics-graellsiiXhybrid,3,175.3333333,0.868821293,526
A.7XB.4,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
A11,Conspecifics-graellsiiXgraellsii,3,23.33333333,0.6,70
A13,Conspecifics-graellsiiXgraellsii,3,19,0.385964912,57
A49,Conspecifics-graellsiiXgraellsii,3,113.3333333,0.435294118,340
A5,Conspecifics-graellsiiXgraellsii,1,110,0.290909091,110
A51,Conspecifics-graellsiiXgraellsii,3,120.3333333,0.689750693,361
A52,Conspecifics-graellsiiXgraellsii,3,226.6666667,0.264705882,680
A55,Conspecifics-graellsiiXgraellsii,3,238.3333333,0.337062937,715
A56,Conspecifics-graellsiiXgraellsii,3,172,0.406976744,516
A6,Conspecifics-graellsiiXgraellsii,3,46.66666667,0.142857143,140
B.10X1.38,Postzygotics-elegansXhybrid,2,37,0,111
B.14X1.28,Postzygotics-elegansXhybrid,1,0.333333333,0,1
B.36XA.38,Heterospecifics-graellsiiXelegans,2,325.5,0.807987711,651
B.42XA.21,Heterospecifics-graellsiiXelegans,3,243.6666667,0.969904241,731
B.42XA.43,Heterospecifics-graellsiiXelegans,3,241,0.970954357,723
B.42XB.57,Conspecifics-graellsiiXgraellsii,3,76.33333333,0.84279476,229
B.44XA.34,Heterospecifics-graellsiiXelegans,3,217,0.858678955,651
B.6XB.8,Conspecifics-elegansXelegans,3,205.3333333,0.941558442,616
B.6XE.5,Conspecifics-elegansXelegans,3,114.3333333,0.2303207,343
B.88XA.39,Heterospecifics-graellsiiXelegans,3,222,0.483483483,666
B.9XE.13,Conspecifics-elegansXelegans,3,111.6666667,0.119402985,335
C.12XB.53,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
C.16XB.52,Heterospecifics-elegansXgraellsii,1,15.5,0,31
C.17XC.22,Conspecifics-elegansXelegans,1,205,0.882926829,205
C.4XB.1,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
C.6XA.20,Conspecifics-elegansXelegans,0,NA,NA,NA
C.6XB.28,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
C.6XC.3,Conspecifics-elegansXelegans,2,344.5,0.955007257,689
C.8XB.53,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
C.8XB.9,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
E.10X1.26,Postzygotics-elegansXhybrid,2,58,0,174
E.10X4.9,Postzygotics-elegansXhybrid,1,79.33333333,0,238
E.10XE.11,Conspecifics-elegansXelegans,2,116.6666667,0.777142857,350
E.14X1.3,Postzygotics-elegansXhybrid,1,9,0,27
E.15XV.1,Conspecifics-elegansXelegans,3,109.6666667,0.003039514,329
E.19X3.18,Postzygotics-elegansXhybrid,2,51,0,153
E.19XB.12,Conspecifics-elegansXelegans,3,201.3333333,0.897350993,604
E.1XA.7,Heterospecifics-elegansXgraellsii,2,0.333333333,0,1
E.22X1.42,Postzygotics-elegansXhybrid,3,133.6666667,0,401
E.9XE.20,Conspecifics-elegansXelegans,1,55.66666667,0,167
Fem_19IxMal_E27,Heterospecifics-elegansXgraellsii,3,17.66666667,0,53
Fem_A10IxMal_F75,Heterospecifics-elegansXgraellsii,1,7,0,7
Fem_A12IxMal_F70,Heterospecifics-elegansXgraellsii,1,6,0,6
Fem_A14IxMal_F70,Heterospecifics-elegansXgraellsii,1,2,0,2
Fem_A18IxMal_F95,Heterospecifics-elegansXgraellsii,1,6,0,6
Fem_A21IxMal_F111,Heterospecifics-elegansXgraellsii,1,2,0,2
Fem_A2IxMal_F56,Heterospecifics-elegansXgraellsii,1,2,0,2
Fem_A5IxMal_F56,Heterospecifics-elegansXgraellsii,0,NA,NA,NA
Fem_C1IxMal_F1(24,Heterospecifics-elegansXgraellsii,1,191,0,191
Fem_E28IxMal_E36,Conspecifics-elegansXelegans,3,419.6666667,0.950754567,1259
Fem_E30IxMal_E36,Conspecifics-elegansXelegans,0,NA,NA,NA
Fem_E35VixMal_E27,Conspecifics-elegansXelegans,0,NA,NA,NA
Fem_F11IxMal_F17,Conspecifics-elegansXelegans,1,322,0.740291262,322
Fem_F19IxMal_F15,Conspecifics-elegansXelegans,1,518,0.984555985,518
Fem_F25IxMal_F25?,Conspecifics-elegansXelegans,1,128,0.4921875,128
Fem_F27IxMal_F22,Conspecifics-elegansXelegans,1,457,0.682713348,457
Fem_F2IxMal_F17,Conspecifics-elegansXelegans,0,NA,NA,NA
Fem_F48IxMal_F58,Conspecifics-elegansXelegans,1,621,0.768115942,621
Fem_F4IxMal_F17,Conspecifics-elegansXelegans,1,510,0.868627451,510
Fem_F5IxMal_F12,Conspecifics-elegansXelegans,1,500,0.768,500
Fem_F65aIxMal_F2,Conspecifics-elegansXelegans,1,258,0.965116279,258
Fem_F65bIxMal_F56,Conspecifics-elegansXelegans,1,20,0.4,20
Fem_F66IxMal_F58,Conspecifics-elegansXelegans,1,414,0.461352657,414
Fem_F67IxMal_F63,Conspecifics-elegansXelegans,1,404,0.564356436,404
Fem_F68IxMal_F62,Conspecifics-elegansXelegans,1,268,0.876865672,268
Fem_F79IxMal_F70,Conspecifics-elegansXelegans,1,331,0.963746224,331
Fem_F81IxMal_F78,Conspecifics-elegansXelegans,1,182,0.56043956,182
Fem_F83IxMal_F75,Conspecifics-elegansXelegans,1,97,0.618556701,97
