Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans,Y,20,19,0.005,19,17,0.034,35,31,0.039,31,279.9,-0.226,31,0.709,0.025
Conspecifics-graellsiiXgraellsii,Y,25,24,-0.005,24,23,-0.034,24,23,-0.039,23,176.6,0.226,23,0.745,-0.025
Heterospecifics-elegansXgraellsii,Y,70,58,0.132,58,46,0.144,30,19,0.313,19,21.3,0.907,19,0.000,1.000
Heterospecifics-graellsiiXelegans,Y,12,10,0.127,10,9,0.029,6,6,-0.085,6,236.0,-0.034,6,0.702,0.035
Postzygotics-elegansXhybrid,Y,7,7,-0.047,7,6,0.075,11,10,0.014,10,69.9,0.694,10,0.042,0.942
Postzygotics-graellsiiXhybrid,Y,2,2,-0.047,2,2,-0.079,1,1,-0.085,1,175.3,0.232,1,0.869,-0.195
Postzygotics-hybridXelegans,Y,12,9,0.215,9,9,-0.079,8,5,0.322,5,18.8,0.918,5,0.000,1.000
Postzygotics-hybridXgraellsii,Y,14,12,0.102,12,12,-0.079,8,6,0.187,6,2.7,0.988,6,0.000,1.000
Postzygotics-hybridXhybrid,Y,18,18,-0.047,18,17,-0.019,29,24,0.102,24,10.9,0.952,24,0.000,1.000
0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
