Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans,Y,46,37,0.108,37,28,0.048,38,33,0.070,33,116.5,-0.074,33,0.765,-0.038
Conspecifics-graellsiiXgraellsii,Y,12,12,-0.108,12,10,-0.048,16,16,-0.070,16,100.5,0.074,16,0.709,0.038
Heterospecifics-elegansXgraellsii,Y,105,83,0.124,83,64,0.030,82,75,0.021,75,89.2,0.178,75,0.583,0.209
Heterospecifics-graellsiiXelegans,Y,47,6,0.858,6,4,0.161,3,3,-0.070,3,134.0,-0.235,3,0.747,-0.013
Postzygotics-elegansXhybrid,Y,29,25,0.044,25,23,-0.157,28,25,0.044,25,123.6,-0.140,25,0.685,0.071
Postzygotics-graellsiiXhybrid,Y,7,2,0.683,2,1,0.371,1,1,-0.070,1,38.7,0.643,1,0.138,0.813
Postzygotics-hybridXelegans,Y,23,8,0.614,8,4,0.371,5,5,-0.070,5,83.0,0.234,5,0.377,0.489
Postzygotics-hybridXgraellsii,Y,15,13,0.039,13,7,0.323,7,7,-0.070,7,120.9,-0.115,7,0.414,0.439
Postzygotics-hybridXhybrid,Y,45,21,0.483,21,19,-0.138,29,26,0.040,26,102.0,0.060,26,0.481,0.348
0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
