Ecology,Type,Male,Female,Mechanical-Isolation,Mechanical-Tactile-Isolation,Oviposition-Isolation,Fecundity-Isolation,Fertility-Isolation
Allopatry,Conspecifics,Elegans,Elegans,0.005,0.034,0.039,-0.226,0.025
Allopatry,Conspecifics,Graellsii,Graellsii,-0.005,-0.034,-0.039,0.226,-0.025
Allopatry,Heterospecifics,Elegans,Graellsii,0.132,0.144,0.313,0.907,1.000
Allopatry,Heterospecifics,Graellsii,Elegans,0.127,0.029,-0.085,-0.034,0.035
Allopatry,Postzygotics,Elegans,Hybrid,-0.047,0.075,0.014,0.694,0.942
Allopatry,Postzygotics,Graellsii,Hybrid,-0.047,-0.079,-0.085,0.232,-0.195
Allopatry,Postzygotics,Hybrid,Elegans,0.215,-0.079,0.322,0.918,1.000
Allopatry,Postzygotics,Hybrid,Graellsii,0.102,-0.079,0.187,0.988,1.000
Allopatry,Postzygotics,Hybrid,Hybrid,-0.047,-0.019,0.102,0.952,1.000
Sympatry,Conspecifics,Elegans,Elegans,0.158,0.183,0.058,0.490,-0.053
Sympatry,Conspecifics,Graellsii,Graellsii,-0.047,0.101,-0.085,0.560,0.025
Sympatry,Heterospecifics,Elegans,Graellsii,0.172,0.168,0.008,0.609,0.198
Sympatry,Heterospecifics,Graellsii,Elegans,0.866,0.280,-0.085,0.413,-0.027
Sympatry,Postzygotics,Elegans,Hybrid,0.097,0.007,0.032,0.458,0.058
Sympatry,Postzygotics,Graellsii,Hybrid,0.701,0.460,-0.085,0.831,0.810
Sympatry,Postzygotics,Hybrid,Elegans,0.636,0.460,-0.085,0.636,0.482
Sympatry,Postzygotics,Hybrid,Graellsii,0.092,0.419,-0.085,0.470,0.431
Sympatry,Postzygotics,Hybrid,Hybrid,0.511,0.023,0.028,0.553,0.339
